Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore,Group,oddball_percentage_VFR-low,oddball_percentage_IFR-high,oddball_percentage_IFR-low,oddball_percentage_VFR-high,TLX_raw_VFR-low,TLX_raw_IFR-high,TLX_raw_IFR-low,TLX_raw_VFR-high,simu_zscore_VFR-low,simu_zscore_IFR-high,simu_zscore_IFR-low,simu_zscore_VFR-high,oddball_percentage_mean,TLX_raw_mean,simu_zscore_mean
P001,E1,1.0,3.06,4.3,67.07,1.0,B,1.4011829736136414,1.667706820558076,4.22053658745986,-1.4011829736136414,-1.667706820558076,-4.22053658745986,-0.3443439332027281,-1.5156037536713265,1.5662837310833877,-0.0978879852635556,0022-09-26 14:31:38,8.0,2290.0,-150.0,250.0,940.0,1250.0,14.0,20.0,28.5714285714286,85.0,61.0,1.0,B,-0.837199728316818,B,20.0,52.8571428571429,14.7368421052632,15.9090909090909,66.6666666666667,90.0,69.1666666666667,63.3333333333333,-0.627204757213175,-1.89694430590746,0.0911202025455404,-0.36325340740335,25.8757689678743,72.2916666666667,-0.699070566994611
P001,E2,3.0,1.87,2.85,183.42,12.0,B,1.0543120297715298,1.3480731482996928,5.217215765110995,-1.0543120297715298,-1.3480731482996928,-5.217215765110995,0.5785852979934267,0.259957349912741,-0.2118064634530996,0.208912061484356,0022-11-08 10:33:27,4.0,5600.0,-150.0,700.0,1050.0,4000.0,12.0,21.0,83.3333333333333,95.2380952380952,197.0,12.0,B,0.658179336852042,B,6.25,18.9873417721519,14.2857142857143,6.02409638554219,20.0,14.1666666666667,9.16666666666667,8.33333333333333,-0.458862764795854,0.0271751707222487,-0.668394931318999,-0.267185846037,11.3867881108521,12.9166666666667,-0.341817092857401
P001,E3,1.0,1.51,2.77,148.51,13.0,B,0.9202827531436923,1.3270750014599193,5.007363280225836,-0.9202827531436923,-1.3270750014599193,-5.007363280225836,0.93520074656848,0.3766017963899244,0.1625734313419194,0.4914586581001079,0022-12-19 10:47:47,2.0,5790.0,-100.0,800.0,1090.0,4000.0,14.0,21.0,78.5714285714286,95.2380952380952,200.0,13.0,B,0.74401680584965,B,1.2048192771084,33.3333333333333,9.8765432098765,5.63380281690139,17.5,32.5,15.8333333333333,19.1666666666667,0.578468506595345,-0.93208009802633,0.334279950218585,0.13092696253206,12.5121246593049,21.25,0.027898830329915
P002,E1,3.0,18.59,5.0,512.28,1.0,B,2.975019231956449,1.791759469228055,6.240821505238095,-2.975019231956449,-1.791759469228055,-6.240821505238095,-4.531894126516487,-2.204714685628894,-2.0379340383068123,-2.9248476168173982,0022-10-17 18:07:37,0.0,1090.0,-220.0,150.0,910.0,250.0,10.0,21.0,30.0,85.7142857142857,13.0,1.0,B,-1.37933111145961,B,,1.0416666666667,0.0,0.0,35.0,70.8333333333333,58.3333333333333,56.6666666666667,-1.04757630206919,,-0.0581782138141025,0.207547773852219,0.347222222222233,55.2083333333333,-0.299402247343691
P002,E2,2.0,1.53,3.17,185.9,12.0,B,0.928219302739429,1.42791603581071,5.230573714461517,-0.928219302739429,-1.42791603581071,-5.230573714461517,0.9140837468693715,-0.1835689045671083,-0.2356372399876843,0.1649592007715263,0022-12-08 18:49:34,2.0,4920.0,-100.0,400.0,870.0,3750.0,13.0,21.0,61.5384615384615,80.9523809523809,191.0,12.0,B,0.350971553071128,B,0.0,15.7894736842105,6.4935064935065,2.4096385542169,36.6666666666667,79.1666666666667,55.0,70.0,-0.155488021758689,-0.545371826859274,0.157808226527957,-0.0742158595597474,6.17315468298348,60.2083333333333,-0.154316870412438
P002,E3,1.0,1.68,2.96,180.44,13.0,B,0.9858167945227652,1.3762440252663892,5.200925020539387,-0.9858167945227652,-1.3762440252663892,-5.200925020539387,0.7608324879959334,0.1034684761263636,-0.1827435374544443,0.2271858088892842,0023-01-12 17:56:42,4.0,4850.0,0.0,500.0,850.0,3500.0,15.0,20.0,53.3333333333333,90.0,190.0,13.0,B,0.319347222387799,B,0.0,1.25,1.2345679012346,0.0,22.5,70.0,47.5,55.8333333333333,0.369327401104653,0.296977173829914,-0.0579784979946944,0.852966854612239,0.62114197530865,48.9583333333333,0.365323232888028
P003,E1,4.0,2.87,3.25,71.24,1.0,B,1.3532545070416904,1.4469189829363254,4.27999390910873,-1.3532545070416904,-1.4469189829363254,-4.27999390910873,-0.2168193204009247,-0.2891300412624682,1.4602110017760417,0.3180872133708829,0022-10-19 17:33:16,8.0,3020.0,0.0,1050.0,970.0,1000.0,14.0,21.0,85.7142857142857,90.4761904761905,54.0,1.0,B,-0.507403136904955,B,0.0,14.7727272727273,4.21052631578949,1.0416666666667,50.0,80.0,59.1666666666667,65.8333333333333,0.0443192839275859,-0.00187885429136,-0.243354485884219,-0.111651431750151,5.00623006379587,63.75,-0.078141371999536
P003,E2,5.0,1.08,2.11,66.79,12.0,B,0.7323678937132266,1.1346227261911428,4.216414691442874,-0.7323678937132266,-1.1346227261911428,-4.216414691442874,1.435191073874292,1.445671809724639,1.5736372537163923,1.4848333791051076,0022-12-09 14:21:25,1.0,7870.0,0.0,1150.0,1220.0,5500.0,15.0,24.0,100.0,95.8333333333333,258.0,12.0,B,1.68371120329715,B,0.0,0.0,0.0,0.0,22.5,65.0,27.5,32.5,0.630465850073952,0.293976938842217,0.140919207122648,0.657186553052928,0.0,36.875,0.430637137272936
P003,E3,1.0,1.41,2.05,73.85,13.0,B,0.8796267475025636,1.1151415906193205,4.3154861108656375,-0.8796267475025636,-1.1151415906193205,-4.3154861108656375,1.043375318973579,1.5538892773355433,1.3968923960084416,1.3313856641058546,0023-01-18 19:07:29,3.0,7000.0,-100.0,750.0,1100.0,5250.0,11.0,23.0,100.0,86.9565217391304,262.0,13.0,B,1.29066595051863,B,0.0,2.4390243902439,0.0,1.21951219512199,30.8333333333333,55.0,40.8333333333333,26.6666666666667,-0.161862882345004,0.099626516563536,0.682372822674972,0.111018960548527,0.914634146341473,38.3333333333333,0.182788854360508
P004,E1,5.0,3.01,4.42,131.69,1.0,A,1.3887912413184778,1.6900958154515549,4.888015580548345,-1.3887912413184778,-1.6900958154515549,-4.888015580548345,-0.3113729041690317,-1.6399743439171124,0.3754914688564069,-0.5252852597432457,0022-10-27 17:13:19,8.0,2170.0,-590.0,1000.0,1010.0,750.0,14.0,20.0,85.7142857142857,95.0,46.0,1.0,A,-0.891412866631097,A,5.31914893617019,39.3258426966292,4.3010752688172,14.5833333333333,35.0,78.3333333333333,36.6666666666667,49.1666666666667,-0.144395682107638,0.0505253026616928,-1.14604444184402,-0.22235541201539,15.8823500587375,49.7916666666667,-0.365567558326339
