Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore
P018,E3,5.0,1.28,3.37,78.13,13.0,B,0.8241754429663495,1.4747630091074988,4.371092069621102,-0.8241754429663495,-1.4747630091074988,-4.371092069621102,1.1909161573544582,-0.44380326291462063,1.297690554294538,0.6816011495781252,0023-11-22 18:29:37,3.0,5450.0,-50.0,500.0,1000.0,4000.0,12.0,22.0,100.0,90.9090909090909,208.0,13.0,B,0.590412913959193
P018,T01,10.0,2.21,4.42,134.64,2.0,B,1.1662709371419244,1.6900958154515549,4.910004317257438,-1.1662709371419244,-1.6900958154515549,-4.910004317257438,0.28069309877839665,-1.6399743439171124,0.336263241750444,-0.341006001129424,0023-09-11 12:52:43,7.0,2580.0,-100.0,650.0,1030.0,1000.0,12.0,22.0,66.6666666666667,86.3636363636364,56.0,2.0,B,-0.706184644057311
P018,T02,7.0,2.39,4.11,125.68,3.0,B,1.220829921392359,1.631199404215613,4.841664221670439,-1.220829921392359,-1.631199404215613,-4.841664221670439,0.13552648196307518,-1.3128055065654114,0.45818296936359815,-0.23969868507957934,0023-09-12 12:54:26,7.0,3510.0,-100.0,1000.0,1110.0,1500.0,14.0,23.0,85.7142857142857,86.9565217391304,80.0,3.0,B,-0.286032822121649
P018,T03,10.0,1.38,2.95,121.22,4.0,B,0.8671004876833833,1.3737155789130306,4.80582269946677,-0.8671004876833833,-1.3737155789130306,-4.80582269946677,1.0767042891566267,0.11751396440612587,0.5221247679048265,0.572114340489193,0023-09-19 13:01:00,10.0,3610.0,0.0,900.0,1210.0,1500.0,13.0,24.0,100.0,95.8333333333333,77.0,4.0,B,-0.24085520685975
P018,T04,6.0,1.71,2.98,138.73,5.0,B,0.9969486348916096,1.3812818192963463,4.939711989092356,-0.9969486348916096,-1.3812818192963463,-4.939711989092356,0.7312136886822257,0.07548359248047236,0.28326432176029864,0.36332053430766553,0023-09-21 12:54:38,8.0,3950.0,-100.0,600.0,1200.0,2250.0,13.0,24.0,100.0,91.6666666666667,120.0,5.0,B,-0.0872513149692932
P018,T05,7.0,1.86,3.3,119.31,6.0,B,1.0508216248317612,1.4586150226995167,4.7900717450454335,-1.0508216248317612,-1.4586150226995167,-4.7900717450454335,0.5878723161332056,-0.3541013977618161,0.5502247003998267,0.2613318729237388,0023-09-25 19:36:13,8.0,6140.0,0.0,550.0,1090.0,4500.0,17.0,20.0,82.3529411764706,100.0,259.0,6.0,B,0.902138459266297
P018,T06,1.0,1.41,2.88,151.96,7.0,B,0.8796267475025636,1.355835153635182,5.030176449303092,-0.8796267475025636,-1.355835153635182,-5.030176449303092,1.043375318973579,0.2168395060944411,0.12187440486263902,0.4606964099768864,0023-09-26 18:40:08,5.0,5535.0,-135.0,750.0,920.0,4000.0,17.0,21.0,76.4705882352941,85.7142857142857,209.0,7.0,B,0.628813886931807
P018,T07,5.0,1.48,2.97,135.12,8.0,B,0.9082585601768908,1.3787660946990992,4.913536849632705,-0.9082585601768908,-1.3787660946990992,-4.913536849632705,0.9671938534216611,0.08945841156208291,0.3299611524531154,0.46220447247895313,0023-10-02 12:54:17,8.0,4750.0,-50.0,550.0,1000.0,3250.0,13.0,22.0,92.3076923076923,86.3636363636364,168.0,8.0,B,0.274169607125899
P018,T08,9.0,1.33,2.79,94.52,9.0,B,0.8458682675776092,1.332366019094335,4.559335649644292,-0.8458682675776092,-1.332366019094335,-4.559335649644292,1.1331974516041832,0.3472102587472586,0.9618612610484437,0.8140896571332951,0023-10-03 12:33:33,6.0,6070.0,-50.0,500.0,1120.0,4500.0,13.0,21.0,92.3076923076923,100.0,237.0,9.0,B,0.870514128582968
P018,T09,6.0,1.52,2.94,152.47,10.0,B,0.9242589015233319,1.3711807233098425,5.033505108187003,-0.9242589015233319,-1.3711807233098425,-5.033505108187003,0.9246212972594803,0.13159505598957025,0.11593602884841495,0.3907174606991552,0023-10-09 12:31:04,5.0,5930.0,-100.0,250.0,1030.0,4750.0,11.0,21.0,100.0,95.2380952380952,243.0,10.0,B,0.807265467216309
